Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Sleep_Hours,Previous_Scores,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,Physical_Activity,Parental_Education_Level,Distance_from_Home,Exam_Score
23,84,Low,High,7,73,Yes,0,Low,Medium,3,High School,Near,67
19,64,Low,Medium,8,59,Yes,2,Medium,Medium,4,College,Moderate,61
24,98,Medium,Medium,7,91,Yes,2,Medium,Medium,4,Postgraduate,Near,74
29,89,Low,Medium,8,98,Yes,1,Medium,Medium,4,High School,Moderate,71
19,92,Medium,Medium,6,65,Yes,3,Medium,High,4,College,Near,70
19,88,Medium,Medium,8,89,Yes,3,Medium,Medium,3,Postgraduate,Near,71
29,84,Medium,Low,7,68,Yes,1,Low,Medium,2,High School,Moderate,67
25,78,Low,High,6,50,Yes,1,High,High,2,High School,Far,66
17,94,Medium,High,6,80,Yes,0,Medium,Low,1,College,Near,69
23,98,Medium,Medium,8,71,Yes,0,High,High,5,High School,Moderate,72
17,80,Low,High,8,88,No,4,Medium,High,4,College,Moderate,68
17,97,Medium,High,6,87,Yes,2,Low,High,2,High School,Near,71
21,83,Medium,Medium,8,97,Yes,2,Medium,Medium,4,High School,Near,70
9,82,Medium,Medium,8,72,Yes,2,Medium,Medium,3,Postgraduate,Near,66
10,78,Medium,High,8,74,Yes,1,Low,Medium,4,Postgraduate,Near,65
17,68,Medium,Medium,8,70,Yes,2,Medium,Medium,4,High School,Near,64
14,60,Medium,Low,10,65,Yes,0,High,Medium,3,College,Near,60
22,70,Low,Medium,6,82,Yes,1,Low,High,3,High School,Near,65
15,80,Medium,Medium,9,91,Yes,3,Low,Medium,2,College,Moderate,67
12,75,Medium,High,7,58,Yes,3,Medium,Medium,4,College,Near,66
29,78,Medium,Medium,5,99,Yes,0,High,Medium,1,High School,Moderate,69
19,99,Medium,High,6,84,Yes,1,Medium,High,3,High School,Near,72
20,74,Medium,High,8,89,Yes,1,Medium,Medium,2,College,Moderate,66
11,78,High,Medium,8,100,Yes,1,Low,Medium,3,High School,Moderate,66
17,65,Low,High,5,75,Yes,2,Low,Medium,3,High School,Near,63
21,62,High,Low,6,54,Yes,0,High,High,3,Postgraduate,Far,64
13,91,Low,Medium,6,90,Yes,1,High,Medium,2,High School,Moderate,65
22,83,High,High,6,94,Yes,0,High,Medium,2,College,Moderate,71
16,90,Medium,Medium,4,58,Yes,1,Low,Medium,3,High School,Moderate,66
18,66,High,High,4,51,Yes,2,Low,Medium,2,College,Near,64
16,83,Low,Medium,6,57,Yes,0,High,Low,4,High School,Near,63
31,70,Medium,High,7,66,Yes,1,High,Medium,3,College,Near,69
20,69,Medium,Medium,8,96,Yes,2,Medium,High,3,High School,Near,67
14,60,High,Medium,5,50,Yes,2,Medium,Medium,3,College,,61
25,65,High,Medium,5,90,Yes,2,Medium,Medium,3,College,Moderate,68
13,72,Low,Medium,6,93,Yes,1,Low,Medium,3,High School,Near,61
21,65,Medium,Low,7,91,Yes,2,Medium,High,3,High School,Far,64
8,99,Medium,Medium,9,54,Yes,2,Low,Medium,5,Postgraduate,Near,67
12,72,Low,Medium,8,84,Yes,1,Low,Medium,5,High School,Near,63
21,65,Low,Medium,6,98,Yes,1,Medium,High,4,High School,Near,64
24,68,High,Medium,8,56,Yes,3,High,High,1,College,Near,67
21,84,Medium,Medium,6,52,Yes,1,Medium,High,2,College,Far,65
19,63,Low,High,7,94,Yes,1,Medium,Medium,3,High School,Moderate,64
